	N120	N123	N124	N126	N130	N131	N137	N138	N140	N141	N142	N144	N145	N146	N148	N149	N150	N151	N153	N154	N156	N157	N158	N160	N161	N162	N163	N165	N166	N169	N170	N171	N172	N175	N176	N177	N178	N179	N180	N181	N182	N183	N185	N186	N187	N188	N189	N190	N192	N197	N200	N201	N202	N203	N204	N205	N208	N209	N210	N211	N212	N214	N215	N216	N219	N220	N221	N222	N223	N224	N226	N228	N229	N230	N232	N233	N237	N238	N239	N240	N242	N244	N245	N246	N248	N250	N251	N252	N254	N255	N257	N261	N262	N263	N264	N265	N267	N268	N270
LILRB5	5.96251207	8.004828767	4.953334185	8.04697155	6.522624234	9.219622953	6.544573093	6.521871684	5.793677227	6.72024	6.45367	9.967946139	6.049870848	7.275226176	12.56233869	5.461235195	5.939546476	7.26450957	9.149948377	5.31082	7.920199649	8.51216	8.768073689	6.532358852	6.669481684	7.99685619	6.673344107	8.556978934	5.760877379	7.966973689	7.268716999	6.399388767	9.209996266	6.93266	5.320361268	8.768868767	7.933093093	5.648467499	6.148015195	6.29166	7.309703754	5.97832	9.349628688	5.844976476	6.790990581	7.078230581	7.733156139	2.831857227	6.47044155	7.849765663	6.687850672	6.619001905	8.557490848	9.005957338	7.493650593	5.60257	6.57872	6.857793348	6.671512759	8.358106176	5.104507379	7.58706207	8.116830581	7.010728934	7.930606346	5.35253314	6.356897379	6.019876476	8.301510848	7.61746147	7.582741733	6.835867227	7.507583093	7.180905735	6.09281147	6.782973349	6.278163754	4.788516176	9.455511905	5.126615663	4.253806999	7.32212	7.76378147	6.530905254	7.221471268	7.396313689	7.558540672	5.23905	3.824395254	9.537161503	7.052261268	4.997978852	5.08017	7.354407338	9.063395663	10.93169869	7.037136472	6.446708852	6.691177338
C2	3.85383207	5.204048767	0.951894185	3.81104155	5.428664234	4.670922953	5.193283093	4.193461684	2.693847227	3.97668	3.85786	5.070696139	2.833370848	5.787476176	6.667268688	3.557375195	1.910746476	4.76970957	2.660918377	2.86762	3.395559649	4.86224	4.592173689	2.680938852	4.116771684	2.80924619	3.020434107	3.783868934	1.363527379	3.384003689	3.092286999	4.016618767	3.303616266	1.88763	3.920421268	5.064718767	3.190813093	3.448327499	4.123465195	3.32337	2.390163754	4.06839	5.081938688	2.891076476	3.560660581	5.691820581	2.577496139	0.968897227	3.85348155	4.225625663	2.678440672	2.430091905	3.051740848	4.468017338	3.449630593	2.57581	2.31215	3.487713348	4.062732759	4.512546176	3.788817379	2.90718207	3.175620581	3.769698934	3.956316346	4.16567314	4.765127379	3.152556476	2.693490848	3.79422147	3.601561733	3.154477227	3.145183093	4.087315735	4.25263147	4.869743349	3.896833754	4.898576176	3.874461905	2.516355663	2.054446999	3.04471	2.92662147	4.965955254	3.194541268	3.152823689	4.454460672	1.82613	0.582145254	3.764731503	4.183111268	4.296558852	2.04965	4.662237338	4.746955663	5.137368688	3.015906472	4.526818852	4.239617338
TNFRSF14	3.31174207	4.834688767	2.563104185	4.90795155	3.578694234	5.918532953	4.374973093	3.460751684	4.337947227	3.57396	4.02989	5.965536139	4.426610848	4.745116176	8.709308688	3.527155195	3.137576476	5.85002957	5.418608377	3.22691	5.039279649	5.38102	5.843253689	3.397518852	4.341011684	5.14000619	4.494114107	4.921298934	3.546877379	4.073493689	4.064406999	4.277258767	5.804506266	3.19401	3.215091268	5.933458767	4.433673093	2.502687499	3.346855195	3.65709	4.186493754	3.77007	7.762288688	3.391836476	4.227960581	3.913390581	4.279236139	1.241017227	3.57552155	3.708595663	5.377670672	4.393221905	4.980460848	5.889337338	4.186500593	2.79441	3.43788	3.132113348	4.624082759	5.100226176	3.433557379	4.34770207	4.758040581	3.523938934	4.545216346	3.69890314	3.737537379	2.498236476	4.793170848	3.93408147	4.022921733	4.520917227	4.298243093	4.672225735	3.96655147	4.326553349	4.194993754	1.382146176	5.541401905	2.907955663	1.657086999	3.61608	4.47548147	2.605295254	4.069251268	3.954343689	2.644530672	2.79412	1.564085254	6.152141503	3.926551268	3.257358852	3.49761	6.026797338	5.400675663	8.753278688	3.871696472	4.734188852	4.465687338
LDL receptor	4.82736207	4.834908767	5.216134185	4.18289155	4.413304234	4.297762953	4.987403093	3.858621684	2.891267227	4.13409	4.27518	4.938646139	1.470390848	6.424996176	6.485568688	4.387945195	5.529796476	4.46734957	3.228758377	2.82537	6.031059649	4.60322	4.017093689	5.587018852	5.515381684	3.25495619	3.244704107	3.161328934	4.767287379	7.807603689	4.247426999	5.594738767	5.419376266	4.12463	2.511151268	5.074858767	4.876943093	4.006487499	3.936315195	4.60414	3.679153754	6.60785	3.379078688	4.600586476	5.744760581	4.008840581	3.901776139	3.298077227	4.09272155	5.440505663	4.168040672	1.854021905	5.590280848	4.459477338	3.648730593	3.99182	2.45797	6.070043348	5.085712759	5.339376176	5.449017379	2.28199207	3.869470581	4.183348934	3.561116346	5.21713314	5.302407379	5.586966476	4.531310848	3.01549147	6.109531733	5.389017227	4.804083093	5.563255735	5.79291147	8.191333349	4.256793754	1.213586176	4.490531905	4.898565663	1.536356999	5.90355	5.65329147	4.294945254	6.167061268	7.242473689	4.492150672	1.96847	4.821175254	3.171241503	5.521191268	2.824238852	4.58699	4.956717338	5.363665663	2.886648688	5.190116472	5.680108852	3.669077338
ITGB2	5.65532207	7.407448767	6.949994185	8.38743155	7.660964234	8.594742953	9.390363093	9.117111684	7.968937227	8.02644	5.52963	8.843276139	7.567070848	7.863036176	10.94953869	6.897785195	7.898036476	8.96438957	8.537748377	6.9491	9.310949649	8.28778	8.239123689	7.206368852	6.233141684	8.95527619	6.463904107	9.150508934	6.024007379	7.156173689	9.154476999	8.311418767	8.566246266	6.4881	8.190611268	7.964118767	8.575293093	6.662247499	7.904185195	7.11719	8.950653754	6.39313	9.863928688	5.994716476	7.411870581	9.097590581	9.193026139	6.443007227	8.19824155	6.975835663	7.950330672	9.036151905	7.717670848	9.092787338	9.347850593	6.99529	8.92901	8.097433348	9.273472759	8.529926176	8.552327379	8.39261207	8.655330581	8.610748934	8.080466346	9.10137314	7.388887379	7.659026476	7.593210848	8.24847147	8.252891733	8.013997227	8.231443093	9.116035735	8.49527147	7.952373349	9.016903754	8.472946176	9.012231905	7.828545663	5.056886999	7.89986	9.09295147	7.788835254	8.954191268	8.137253689	8.185200672	4.69285	6.632805254	9.130541503	9.152681268	9.346898852	7.15789	9.959737338	8.913695663	9.457278688	8.724336472	8.189968852	8.970967338
IL-17RA	1.58025207	2.667808767	1.981434185	3.15713155	1.462204234	3.932672953	3.878283093	2.546881684	2.628907227	3.2162	0.72224	3.244106139	1.897290848	2.948166176	7.079818688	1.506955195	2.477026476	4.26061957	3.381628377	2.06569	3.983609649	2.91198	3.508053689	2.563788852	1.255891684	3.57910619	1.967554107	3.484818934	0.803127379	2.715043689	2.118666999	2.801078767	3.938786266	1.42161	1.563201268	3.203978767	3.008523093	0.934307499	1.585665195	1.78728	2.514413754	1.33711	5.261508688	0.744556476	1.912930581	2.689450581	3.582566139	0.262827227	2.82789155	2.124505663	1.759540672	3.441591905	2.628180848	2.780897338	2.519030593	1.5168	2.40541	1.918653348	4.180942759	3.136826176	2.054557379	3.43993207	3.007150581	1.637178934	2.461746346	2.41818314	1.886317379	1.397536476	3.075010848	2.18734147	2.451751733	2.310857227	3.354483093	3.748265735	2.16380147	3.698853349	3.661773754	0.829986176	4.213541905	1.794755663	1.182156999	2.39462	3.96427147	1.713215254	3.766491268	2.555943689	1.342300672	0.66157	1.344125254	5.331501503	2.516431268	1.259848852	1.79327	5.617407338	4.192025663	4.402428688	2.362116472	2.116588852	2.933627338
TNF-R2	1.35427207	3.102828767	0.0	3.17467155	3.474304234	4.561502953	4.788453093	2.191911684	2.292847227	2.5278	1.53438	3.769216139	2.186470848	3.092676176	6.745648688	2.013045195	1.339756476	4.45569957	3.543888377	1.08117	3.487769649	4.56332	4.407123689	1.057068852	1.748891684	3.17262619	2.998444107	2.516668934	1.669917379	1.225603689	3.339686999	2.697228767	3.805106266	1.10788	3.597851268	4.466478767	1.975463093	1.197337499	3.074105195	1.65725	3.180853754	1.83042	6.035198688	1.709716476	2.447730581	4.697020581	4.499136139	0.337897227	2.35677155	1.875955663	2.470520672	2.934421905	2.310300848	3.465737338	3.060320593	1.99466	1.83852	1.607563348	3.964742759	3.928856176	2.511027379	2.05790207	2.549990581	3.713128934	3.159066346	3.00487314	3.675847379	1.033836476	2.931910848	2.65392147	2.033851733	2.438877227	1.635393093	3.395105735	2.57534147	2.166923349	3.402353754	1.929446176	4.374711905	0.759035663	0.0	1.58297	3.11864147	2.347815254	2.385431268	2.068153689	2.493360672	1.6349	0.0	3.545651503	3.795481268	3.705468852	1.11654	6.301917338	4.068135663	6.145268688	2.023296472	3.010708852	2.871317338
MMP-9	3.76541207	6.002448767	4.990354185	5.91970155	6.653104234	5.966202953	6.469513093	6.881891684	6.997647227	6.18167	0.9152	5.037906139	5.704890848	5.449286176	8.385088688	4.425575195	6.098066476	6.74294957	5.687908377	5.18538	5.871629649	6.27511	6.538253689	4.851148852	1.313261684	6.05910619	3.425584107	7.190458934	3.672287379	6.373673689	6.520116999	6.708678767	5.267116266	4.29838	5.579211268	4.452778767	6.194143093	5.593927499	5.581885195	4.15551	6.619423754	4.96115	7.452968688	3.554916476	3.950120581	7.368350581	6.468066139	3.766817227	6.79466155	4.553735663	5.614010672	7.137791905	5.473060848	4.656847338	5.781330593	6.59133	6.28041	5.586753348	6.764072759	5.591876176	5.840837379	6.72830207	6.299720581	6.056248934	4.768636346	6.64137314	5.031987379	4.930586476	5.882320848	5.63403147	5.444601733	5.764567227	5.199723093	6.180355735	6.37460147	6.350773349	6.271973754	6.224896176	6.366571905	6.258135663	4.013566999	5.72978	6.76926147	6.579005254	6.289601268	5.372703689	5.921110672	3.80955	4.488225254	6.451441503	6.208331268	6.425758852	4.9666	7.119447338	6.879905663	7.255918688	6.128166472	5.176858852	7.283147338
EPHB4	1.57113207	2.618428767	1.308594185	2.84654155	1.124454234	2.703492953	1.169063093	1.201781684	2.599337227	1.16081	0.51999	3.783006139	1.488840848	2.711196176	5.533758688	0.659825195	1.968316476	2.40788957	1.229268377	1.26334	2.382429649	2.43692	2.879103689	1.384088852	1.463811684	2.75679619	0.951714107	2.259418934	0.810477379	1.707793689	0.790416999	1.222748767	3.480826266	1.23065	0.951231268	2.698308767	3.047783093	1.036397499	0.526315195	1.20289	0.888753754	1.66808	3.819528688	0.795506476	1.857840581	1.631610581	2.259126139	0.154457227	1.30788155	2.531535663	1.105310672	2.411871905	1.918600848	3.036807338	1.638210593	0.67226	1.28243	1.649933348	2.822912759	2.114966176	1.408587379	1.41120207	1.930480581	0.704718934	2.360216346	1.13393314	0.923397379	1.459736476	1.554150848	1.52012147	1.673381733	1.524007227	1.995853093	2.465575735	1.63095147	2.363813349	2.219403754	0.237026176	1.803811905	1.171235663	0.559416999	0.81339	2.46606147	1.626015254	3.205621268	2.599253689	1.753380672	0.86389	0.419775254	2.807861503	1.461391268	1.259628852	1.18286	3.021347338	2.546285663	3.674248688	1.303116472	2.391888852	1.913397338
IL2-RA	1.77179207	3.367298767	1.117884185	2.50049155	2.493384234	4.600642953	3.009813093	2.294931684	1.896407227	2.96869	1.90999	4.402026139	2.359340848	3.593906176	7.523318688	1.536735195	1.715376476	4.48272957	4.173308377	1.45565	3.396489649	3.58385	4.428633689	2.053978852	2.381961684	2.92440619	3.294844107	2.496118934	2.399957379	2.486973689	2.861416999	2.538928767	4.148926266	2.13627	2.117881268	5.299198767	1.745423093	1.300607499	1.963325195	2.60565	3.546313754	2.79008	5.505498688	1.566466476	3.694450581	3.830600581	3.830006139	0.869367227	3.04546155	2.285575663	2.458980672	2.049891905	2.821280848	3.766447338	3.322140593	1.1693	1.44453	2.226233348	3.583162759	3.892296176	1.524387379	2.88470207	2.782770581	2.982858934	3.442996346	3.18771314	3.498777379	1.818136476	3.699010848	2.01009147	2.641251733	2.728807227	2.703343093	4.327775735	2.62971147	3.008753349	2.810713754	0.473256176	4.059011905	1.471365663	0.321426999	1.63723	4.26978147	2.344935254	2.654731268	3.338543689	2.055680672	0.90145	0.822325254	3.744761503	2.460261268	2.291578852	2.16709	5.612797338	3.997425663	5.937898688	2.734996472	3.223398852	3.172087338
OPG	10.53640207	11.58314877	9.493124185	10.59450155	9.595454234	11.14977295	11.38783309	10.91150168	6.897207227	11.36754	10.32056	10.71126614	10.39019085	11.24078618	13.35027869	10.52157519	9.122976476	11.88168957	9.854158377	10.45548	11.93006965	11.36206	10.75795369	10.83719885	10.31044168	9.90279619	9.761904107	9.722518934	8.456797379	10.28116369	10.693897	11.81392877	9.027966266	8.84145	11.09947127	10.89657877	7.796083093	11.0974075	11.18114519	10.22056	10.18540375	10.5377	11.37744869	9.110076476	10.27397058	9.610540581	10.96780614	10.05805723	11.35966155	9.530915663	9.831970672	10.37281191	9.044050848	10.62320734	10.74781059	10.33809	10.04988	10.65596335	11.48904276	11.15679618	11.62360738	10.20644207	10.30389058	10.82757893	10.10511635	10.51229314	11.68239738	9.334716476	10.64804085	11.28753147	10.17330173	10.70133723	10.17986309	11.31068574	10.77180147	11.84700335	11.08333375	8.934906176	11.00804191	9.618305663	8.312626999	10.62483	8.02163147	11.54271525	9.606521268	10.64061369	10.56624067	8.02327	9.504875254	10.2606515	11.53709127	11.04603885	8.70239	11.47360734	11.63990566	11.46306869	9.674406472	10.98131885	11.09045734
ALCAM	5.06847207	5.651558767	4.903334185	5.11727155	3.055854234	5.487772953	4.517653093	5.057201684	4.602627227	4.56457	5.03092	5.517556139	5.289720848	5.259186176	7.851358688	4.926955195	4.035576476	5.66459957	5.374198377	4.28175	5.383359649	5.24697	4.568663689	5.082778852	5.502851684	5.52264619	4.952144107	5.131848934	3.737677379	4.862263689	4.853326999	5.152718767	4.121086266	4.07421	3.705511268	5.136608767	4.081743093	3.071127499	4.487455195	4.38449	4.134193754	4.91496	6.153848688	3.947926476	4.259000581	3.409120581	4.102196139	2.745927227	4.23910155	3.879965663	5.118480672	5.470911905	4.858820848	5.657617338	4.529070593	3.28546	4.17692	4.432273348	3.438782759	5.278406176	4.679187379	4.05808207	4.308360581	3.632968934	4.226526346	4.53933314	4.348517379	4.084266476	5.101240848	5.22439147	5.273141733	4.943167227	4.163733093	4.833055735	4.96607147	5.877843349	5.406383754	2.376486176	5.063341905	4.415735663	4.650926999	5.0375	3.90004147	4.065335254	4.912581268	4.633343689	2.789450672	3.04769	3.793705254	5.843831503	4.838541268	4.098668852	4.06331	5.198577338	5.362315663	6.242978688	4.194076472	5.544338852	5.175067338
TFF3	4.28732207	3.197228767	1.456524185	5.52263155	3.745224234	2.789412953	3.298403093	2.302161684	1.986697227	2.01397	2.16163	3.263266139	1.920070848	3.541316176	5.384728688	2.288205195	2.725086476	4.34035957	1.555998377	1.90028	3.482679649	3.48742	2.719063689	2.525818852	1.643591684	2.81211619	1.365644107	1.127908934	1.839987379	2.172663689	2.095476999	2.546758767	5.873196266	1.68635	3.179511268	3.514708767	2.313423093	2.030417499	2.459315195	2.54131	1.490313754	2.89476	3.781958688	1.314156476	2.257460581	4.134090581	2.875466139	1.270787227	2.15055155	1.611215663	1.782100672	3.405271905	1.809030848	1.731247338	1.598350593	1.52522	5.40444	1.627183348	3.900012759	2.543986176	3.610097379	0.92055207	1.904240581	1.694358934	2.546286346	2.05343314	3.243767379	1.154786476	1.815380848	1.50908147	2.181701733	2.566247227	1.483783093	2.390655735	2.04237147	3.157603349	1.580353754	1.415026176	2.639851905	1.672465663	0.243446999	2.7902	2.01640147	3.299365254	2.076981268	2.584163689	2.907420672	2.76117	2.091715254	6.449171503	2.525101268	4.018578852	1.99166	3.696277338	2.855375663	3.615468688	2.242926472	2.323128852	2.430517338
SELP	4.90575207	8.798868767	6.243504185	7.33968155	8.624704234	7.540522953	6.901163093	7.475191684	8.672147227	5.41112	5.72208	8.818086139	6.022980848	7.889486176	9.877598688	5.475525195	7.928676476	6.64784957	7.130158377	7.7521	9.271119649	6.47257	7.034953689	7.542158852	4.786951684	8.94813619	5.153694107	8.610408934	4.412547379	6.924243689	5.425756999	4.701948767	8.412676266	5.71152	5.351851268	7.743098767	9.821303093	7.229037499	5.904675195	7.2341	8.344493754	6.2129	9.365448688	5.888646476	6.182880581	5.917470581	5.835796139	3.633207227	5.25013155	7.056435663	5.462620672	8.083081905	6.346410848	6.936877338	6.248930593	4.23928	6.08859	5.700213348	8.595052759	7.059136176	5.823397379	6.35507207	6.756090581	7.057358934	6.829986346	6.31693314	5.784477379	6.418686476	5.697420848	5.29605147	7.097081733	5.979007227	6.460953093	7.525975735	5.96948147	7.386673349	8.256203754	5.746236176	7.410891905	5.965105663	4.969396999	6.67013	8.27125147	6.888825254	8.094061268	9.120433689	7.920760672	5.45659	4.628905254	8.498601503	5.496791268	5.914448852	7.92838	6.995737338	7.485045663	7.339728688	7.094376472	7.617188852	6.251387338
CSTB	9.37754207	9.783108767	8.545884185	9.49623155	9.282954234	9.082992953	9.685843093	9.055271684	9.166737227	9.48314	9.61014	9.117546139	9.400660848	10.10403618	10.86073869	9.015805195	8.506056476	9.60050957	8.668708377	9.09678	9.650569649	9.44569	9.470643689	8.946668852	9.152421684	8.78908619	8.920354107	8.911268934	8.113067379	9.968223689	9.095006999	9.621738767	8.852466266	8.75515	9.390651268	9.704268767	9.006143093	8.399107499	9.330415195	9.05908	8.830123754	9.20926	8.691608688	8.820156476	9.062040581	9.533740581	9.046686139	7.322327227	9.43956155	9.004285663	9.296100672	8.895001905	9.407400848	9.572927338	9.134730593	9.19607	9.33807	9.169843348	9.764492759	9.336466176	9.483147379	9.21240207	9.480150581	9.270728934	9.285366346	9.47124314	9.475057379	8.175526476	9.402670848	9.37927147	9.500061733	9.050267227	9.392943093	9.361105735	9.18200147	9.995403349	8.902793754	8.864476176	8.893711905	8.830505663	8.083826999	9.39106	9.25109147	9.355085254	8.992531268	9.182243689	8.930220672	9.14609	7.999855254	8.584221503	9.356471268	9.186278852	8.03768	9.546787338	9.374015663	8.519928688	8.898376472	9.259908852	9.369167338
MCP-1	8.04400207	9.739848767	6.706214185	8.56376155	11.56929423	10.23437295	12.03527309	11.75558168	7.117467227	11.27812	7.43174	8.945646139	8.998530848	9.819096176	12.44352869	9.329485195	6.455906476	10.61713957	8.772598377	7.69254	10.92537965	11.06986	10.48492369	7.286748852	8.684451684	10.38119619	10.42654411	11.07772893	7.037047379	8.043863689	11.691607	11.35322877	8.144846266	7.27606	11.83794127	8.517498767	7.379743093	9.860957499	11.13282519	8.39369	11.11396375	7.01893	10.34039869	8.821866476	8.448920581	12.05668058	11.51540614	8.038147227	12.10128155	7.377905663	10.51488067	11.69666191	8.318290848	8.397287338	9.292500593	10.69826	11.33971	10.63993335	10.16499276	10.16363618	9.907077379	8.52570207	8.426950581	10.60620893	7.448236346	10.91105314	12.20615738	6.938476476	8.388040848	9.21131147	8.650101733	10.88827723	7.769603093	11.71175574	11.35760147	8.701053349	11.37252375	11.02178618	11.59882191	7.719885663	5.496006999	9.33704	11.78152147	10.84805525	9.574231268	9.259823689	10.10357067	7.06984	5.827925254	11.7047015	11.63561127	11.68209885	5.63891	12.21094734	12.01232566	10.47848869	8.989976472	10.71051885	12.15633734
CD163	4.44394207	7.114148767	4.632724185	7.43025155	6.270734234	8.284872953	7.980563093	7.228951684	5.377127227	6.90461	4.86668	8.292176139	6.308680848	7.738046176	10.37000869	6.207165195	5.640826476	7.97574957	8.069768377	5.81215	7.544439649	7.6904	8.358883689	6.428718852	5.993811684	7.47089619	7.247994107	7.852608934	6.185387379	6.352383689	7.690206999	6.252628767	8.000236266	6.47079	6.540051268	8.432008767	6.938493093	4.781847499	5.943725195	6.23956	7.907633754	5.53766	8.725548688	6.077726476	7.670270581	8.788600581	7.903486139	3.821077227	6.83541155	6.718415663	6.818170672	7.628111905	7.244840848	7.890367338	7.315160593	4.73202	6.36787	6.498023348	8.083812759	7.531956176	5.740667379	7.23260207	7.639610581	7.161248934	7.723866346	7.34489314	6.758357379	6.328996476	7.640180848	6.81173147	7.041931733	6.992707227	6.673533093	7.989625735	7.26580147	6.056373349	7.525863754	5.164466176	8.370321905	5.374805663	3.742236999	6.18098	8.06196147	6.921695254	7.593421268	7.825213689	6.797370672	5.89085	3.949105254	8.137811503	7.227321268	7.827638852	6.0415	8.599277338	7.957635663	8.811368688	7.195956472	7.788708852	7.760397338
